	     Round: 1 There were 26 requests

Request		Start		Goal		Time		Approx.
21	|	7	|	3	|	5	|	0 Mins 50 Secs
22	|	2	|	0	|	8	|	1 Min 20 Secs
23	|	7	|	8	|	11	|	1 Min 50 Secs
24	|	9	|	1	|	20	|	3 Mins 20 Secs
25	|	8	|	1	|	17	|	2 Mins 50 Secs
26	|	3	|	9	|	9	|	1 Min 30 Secs
27	|	7	|	9	|	9	|	1 Min 30 Secs
28	|	4	|	5	|	4	|	0 Mins 40 Secs
29	|	8	|	7	|	8	|	1 Min 20 Secs
30	|	8	|	5	|	10	|	1 Min 40 Secs
31	|	1	|	9	|	18	|	3 Mins 0 Secs
32	|	4	|	5	|	8	|	1 Min 20 Secs
33	|	5	|	6	|	9	|	1 Min 30 Secs
34	|	6	|	3	|	6	|	1 Min 0 Secs
35	|	1	|	7	|	14	|	2 Mins 20 Secs
36	|	0	|	1	|	22	|	3 Mins 40 Secs
37	|	8	|	1	|	30	|	5 Mins 0 Secs
38	|	8	|	7	|	24	|	4 Mins 0 Secs
39	|	2	|	7	|	8	|	1 Min 20 Secs
40	|	7	|	6	|	1	|	0 Mins 10 Secs
41	|	1	|	0	|	15	|	2 Mins 30 Secs
42	|	8	|	7	|	8	|	1 Min 20 Secs
43	|	0	|	4	|	19	|	3 Mins 10 Secs
44	|	1	|	8	|	10	|	1 Min 40 Secs
45	|	7	|	6	|	12	|	2 Mins 0 Secs
46	|	6	|	8	|	2	|	0 Mins 20 Secs
47	|	0	|	5	|	15	|	2 Mins 30 Secs
48	|	9	|	7	|	6	|	1 Min 0 Secs
49	|	9	|	8	|	5	|	0 Mins 50 Secs
50	|	4	|	5	|	4	|	0 Mins 40 Secs
51	|	2	|	7	|	16	|	2 Mins 40 Secs
52	|	3	|	6	|	15	|	2 Mins 30 Secs
53	|	7	|	4	|	19	|	3 Mins 10 Secs
54	|	2	|	0	|	5	|	0 Mins 50 Secs
55	|	7	|	3	|	20	|	3 Mins 20 Secs
56	|	0	|	9	|	14	|	2 Mins 20 Secs
57	|	4	|	8	|	5	|	0 Mins 50 Secs
58	|	9	|	0	|	31	|	5 Mins 10 Secs
59	|	7	|	0	|	13	|	2 Mins 10 Secs
60	|	8	|	2	|	16	|	2 Mins 40 Secs
61	|	2	|	0	|	18	|	3 Mins 0 Secs
62	|	3	|	5	|	5	|	0 Mins 50 Secs
63	|	3	|	0	|	18	|	3 Mins 0 Secs
64	|	7	|	8	|	8	|	1 Min 20 Secs
65	|	2	|	1	|	15	|	2 Mins 30 Secs
66	|	6	|	8	|	8	|	1 Min 20 Secs
67	|	7	|	3	|	12	|	2 Mins 0 Secs
68	|	1	|	8	|	7	|	1 Min 10 Secs
69	|	0	|	6	|	9	|	1 Min 30 Secs
70	|	4	|	0	|	15	|	2 Mins 30 Secs
71	|	4	|	3	|	11	|	1 Min 50 Secs
72	|	0	|	7	|	7	|	1 Min 10 Secs
73	|	1	|	6	|	7	|	1 Min 10 Secs
74	|	1	|	7	|	8	|	1 Min 20 Secs
75	|	7	|	3	|	4	|	0 Mins 40 Secs
76	|	4	|	6	|	13	|	2 Mins 10 Secs
77	|	5	|	0	|	7	|	1 Min 10 Secs
78	|	5	|	9	|	5	|	0 Mins 50 Secs
79	|	0	|	3	|	12	|	2 Mins 0 Secs
80	|	4	|	7	|	16	|	2 Mins 40 Secs
81	|	3	|	8	|	17	|	2 Mins 50 Secs
82	|	8	|	4	|	4	|	0 Mins 40 Secs
83	|	5	|	7	|	7	|	1 Min 10 Secs
84	|	2	|	5	|	19	|	3 Mins 10 Secs
85	|	8	|	9	|	16	|	2 Mins 40 Secs
86	|	5	|	1	|	6	|	1 Min 0 Secs
87	|	1	|	0	|	7	|	1 Min 10 Secs
88	|	1	|	5	|	12	|	2 Mins 0 Secs

Average Time: 1 Min 40 Secs
RoundTime: 61 Mins 0 Secs

+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-
	     Round: 10 There were 96 requests

Request		Start		Goal		Time		Approx.
____________________________________________________________________________________________________

1	|	8	|	3	|	13	|	2 Mins 10 Secs
2	|	5	|	8	|	8	|	1 Min 20 Secs
3	|	0	|	1	|	1	|	0 Mins 10 Secs
4	|	0	|	7	|	7	|	1 Min 10 Secs
5	|	6	|	3	|	13	|	2 Mins 10 Secs
6	|	4	|	9	|	6	|	1 Min 0 Secs
7	|	3	|	5	|	2	|	0 Mins 20 Secs
8	|	6	|	0	|	15	|	2 Mins 30 Secs
9	|	2	|	4	|	19	|	3 Mins 10 Secs
10	|	4	|	7	|	3	|	0 Mins 30 Secs
11	|	5	|	6	|	2	|	0 Mins 20 Secs
12	|	7	|	0	|	10	|	1 Min 40 Secs
13	|	8	|	2	|	14	|	2 Mins 20 Secs
14	|	8	|	2	|	14	|	2 Mins 20 Secs
15	|	5	|	1	|	7	|	1 Min 10 Secs
16	|	7	|	0	|	20	|	3 Mins 20 Secs
17	|	7	|	3	|	10	|	1 Min 40 Secs
18	|	0	|	1	|	1	|	0 Mins 10 Secs
19	|	6	|	0	|	13	|	2 Mins 10 Secs
20	|	5	|	7	|	6	|	1 Min 0 Secs
21	|	6	|	7	|	7	|	1 Min 10 Secs
22	|	1	|	0	|	16	|	2 Mins 40 Secs
23	|	7	|	8	|	8	|	1 Min 20 Secs
24	|	4	|	7	|	7	|	1 Min 10 Secs
25	|	8	|	1	|	15	|	2 Mins 30 Secs
26	|	2	|	1	|	3	|	0 Mins 30 Secs
27	|	5	|	6	|	8	|	1 Min 20 Secs
28	|	5	|	7	|	6	|	1 Min 0 Secs
29	|	9	|	2	|	23	|	3 Mins 50 Secs
30	|	4	|	3	|	10	|	1 Min 40 Secs
31	|	1	|	4	|	3	|	0 Mins 30 Secs
32	|	4	|	6	|	5	|	0 Mins 50 Secs
33	|	4	|	7	|	4	|	0 Mins 40 Secs
34	|	3	|	2	|	2	|	0 Mins 20 Secs
35	|	4	|	7	|	7	|	1 Min 10 Secs
36	|	7	|	9	|	9	|	1 Min 30 Secs
37	|	1	|	0	|	18	|	3 Mins 0 Secs
38	|	5	|	3	|	13	|	2 Mins 10 Secs
39	|	8	|	3	|	13	|	2 Mins 10 Secs
40	|	5	|	7	|	5	|	0 Mins 50 Secs
41	|	2	|	9	|	7	|	1 Min 10 Secs
42	|	0	|	1	|	4	|	0 Mins 40 Secs
43	|	5	|	1	|	12	|	2 Mins 0 Secs
44	|	8	|	5	|	24	|	4 Mins 0 Secs
45	|	3	|	4	|	3	|	0 Mins 30 Secs
46	|	4	|	0	|	9	|	1 Min 30 Secs
47	|	4	|	0	|	9	|	1 Min 30 Secs
48	|	0	|	5	|	14	|	2 Mins 20 Secs
49	|	7	|	3	|	8	|	1 Min 20 Secs
50	|	8	|	5	|	8	|	1 Min 20 Secs
51	|	2	|	3	|	12	|	2 Mins 0 Secs
52	|	2	|	6	|	15	|	2 Mins 30 Secs
53	|	8	|	6	|	7	|	1 Min 10 Secs
54	|	0	|	9	|	22	|	3 Mins 40 Secs
55	|	1	|	2	|	8	|	1 Min 20 Secs
56	|	2	|	7	|	13	|	2 Mins 10 Secs
57	|	2	|	7	|	12	|	2 Mins 0 Secs
58	|	8	|	3	|	6	|	1 Min 0 Secs
59	|	8	|	4	|	5	|	0 Mins 50 Secs
60	|	6	|	0	|	9	|	1 Min 30 Secs
61	|	5	|	3	|	9	|	1 Min 30 Secs
62	|	9	|	5	|	19	|	3 Mins 10 Secs
63	|	2	|	6	|	6	|	1 Min 0 Secs
64	|	0	|	4	|	19	|	3 Mins 10 Secs
65	|	7	|	2	|	13	|	2 Mins 10 Secs
66	|	9	|	6	|	9	|	1 Min 30 Secs
67	|	0	|	1	|	3	|	0 Mins 30 Secs
68	|	9	|	5	|	19	|	3 Mins 10 Secs
69	|	3	|	2	|	8	|	1 Min 20 Secs
70	|	7	|	8	|	6	|	1 Min 0 Secs
71	|	1	|	9	|	23	|	3 Mins 50 Secs
72	|	9	|	8	|	13	|	2 Mins 10 Secs
73	|	0	|	6	|	27	|	4 Mins 30 Secs
74	|	5	|	0	|	8	|	1 Min 20 Secs
75	|	9	|	3	|	23	|	3 Mins 50 Secs
76	|	5	|	2	|	10	|	1 Min 40 Secs
77	|	4	|	2	|	10	|	1 Min 40 Secs
78	|	5	|	6	|	14	|	2 Mins 20 Secs
79	|	4	|	8	|	16	|	2 Mins 40 Secs
80	|	6	|	9	|	3	|	0 Mins 30 Secs
81	|	4	|	9	|	9	|	1 Min 30 Secs
82	|	1	|	8	|	26	|	4 Mins 20 Secs
83	|	4	|	1	|	8	|	1 Min 20 Secs
84	|	8	|	7	|	2	|	0 Mins 20 Secs
85	|	6	|	0	|	9	|	1 Min 30 Secs
86	|	8	|	6	|	2	|	0 Mins 20 Secs
87	|	7	|	3	|	5	|	0 Mins 50 Secs
88	|	5	|	1	|	7	|	1 Min 10 Secs
89	|	9	|	0	|	24	|	4 Mins 0 Secs
90	|	5	|	3	|	14	|	2 Mins 20 Secs
91	|	6	|	0	|	17	|	2 Mins 50 Secs
92	|	8	|	0	|	17	|	2 Mins 50 Secs
93	|	7	|	4	|	13	|	2 Mins 10 Secs
94	|	9	|	2	|	16	|	2 Mins 40 Secs
95	|	8	|	0	|	18	|	3 Mins 0 Secs
96	|	0	|	7	|	7	|	1 Min 10 Secs

Average Time: 1 Min 40 Secs
RoundTime: 62 Mins 10 Secs

+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-
